name,terminal
B1,1
B15,1
B16,1
B17,1
B18,1
B2,1
B20,1
B23,1
B24,1
B26,1
B27,1
B28,1
B30,1
B31,1
B32,1
B34,1
B35,1
B36,1
B4,1
B5,1
B7,1
B8,1
C10,1
C11,1
C12,1
C13,1
C14,1
C15,1
C16,1
C18,1
C5,1
C6,1
C7,1
C8,1
C9,1
D10,1
D12,1
D14,1
D16,1
D18,1
D2,1
D22,1
D23,1
D24,1
D25,1
D26,1
D27,1
D28,1
D29,1
D3,1
D31,1
D4,1
D41,1
D43,1
D44,1
D47,1
D48,1
D49,1
D53,1
D54,1
D55,1
D56,1
D59,1
D6,1
D60,1
D62,1
D63,1
D66,1
D68,1
D7,1
D71,1
D73,1
D74,1
D77,1
D78,1
D79,1
D81,1
D82,1
D83,1
D84,1
D85,1
D86,1
D87,1
E17,2
E18,2
E19,2
E2,2
E20,2
E22,2
E24,2
E3,2
E4,2
E5,2
E6,2
E7,2
E8,2
E9,2
F3,2
F4,2
F5,2
F6,2
F7,2
F9,2
G3,3
G5,3
G7,3
G8,3
G9,3
H1,3
H2,3
H3,3
H4,3
H5,3
H6,3
H7,3
M1,3
M2,3
M3,3
M4,3
M6,3
